Cage	COHORT	BirdID	Sex	Treatment	Time	Plasma_diff	PhotoC_diff	Hue_diff	Chroma_diff	Bright_diff	Size_diff	meanR_diff	meanG_diff	meanB_diff
C11	CO1	b390	F	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C15	CO1	b391	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C16	CO1	b392	F	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C14	CO1	b393	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C8	CO1	b394	M	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C1	CO1	b395	F	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C19	CO1	b396	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C20	CO1	b397	F	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C6	CO1	b398	F	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C7	CO1	b399	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C9	CO1	b401	F	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C4	CO1	b402	F	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C3	CO1	b403	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C2	CO1	b404	F	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C5	CO1	b405	F	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C12	CO1	b406	M	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C17	CO1	b407	F	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C10	CO1	b408	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C18	CO1	b409	F	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C13	CO1	b410	M	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C11	CO2	b412	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C1	CO2	b413	M	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C4	CO2	b414	M	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C8	CO2	b415	M	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C10	CO2	b416	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C13	CO2	b417	M	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C6	CO2	b418	F	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C15	CO2	b419	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C12	CO2	b420	M	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C5	CO2	b421	F	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C14	CO2	b422	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C18	CO2	b423	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C20	CO2	b424	F	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C19	CO2	b425	F	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C7	CO2	b426	M	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C16	CO2	b427	F	BOTH	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C9	CO2	b428	M	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C17	CO2	b429	M	CAR	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C2	CO2	b430	M	DIET	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C3	CO2	b431	F	CTRL	D0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C11	CO1	b390	F	CTRL	D15	0.06	-0.03	3.46	-0.02	0.02	-5.80	0.00	0.02	0.01
C15	CO1	b391	M	CTRL	D15	0.10	-0.02	7.60	0.01	0.03	-8.84	0.03	0.03	0.01
C16	CO1	b392	F	BOTH	D15	0.59	-0.01	2.95	0.02	0.02	-17.60	0.02	0.02	0.00
C14	CO1	b393	M	DIET	D15	0.54	0.00	-0.04	0.01	0.01	-7.13	0.02	0.02	0.00
C8	CO1	b394	M	BOTH	D15	1.84	0.01	-0.30	0.03	0.00	9.97	0.00	0.00	-0.01
C1	CO1	b395	F	CAR	D15	1.94	0.03	-1.10	0.06	0.01	-6.54	0.03	0.01	-0.02
C19	CO1	b396	M	CTRL	D15	0.15	-0.01	2.60	0.00	0.03	18.88	0.03	0.03	0.01
C20	CO1	b397	F	BOTH	D15	1.02	-0.01	1.77	0.01	0.03	15.38	0.03	0.03	0.00
C6	CO1	b398	F	DIET	D15	0.11	0.02	-2.71	0.02	0.01	-8.81	0.03	0.01	0.00
C7	CO1	b399	M	CTRL	D15	0.24	-0.03	2.78	-0.05	0.00	-4.42	-0.02	0.00	0.01
C9	CO1	b401	F	CAR	D15	0.87	0.01	0.82	0.02	0.03	5.04	0.05	0.04	0.01
C4	CO1	b402	F	BOTH	D15	1.71	0.03	0.96	0.07	0.03	16.42	0.07	0.04	-0.01
C3	CO1	b403	M	CTRL	D15	0.11	0.00	1.92	0.01	0.04	1.59	0.04	0.04	0.02
C2	CO1	b404	F	DIET	D15	0.35	0.01	1.63	0.04	0.04	7.84	0.05	0.04	0.00
C5	CO1	b405	F	CAR	D15	0.66	0.02	-0.63	0.03	0.01	-10.19	0.03	0.02	-0.01
C12	CO1	b406	M	BOTH	D15	1.74	0.00	1.04	0.02	0.00	-5.45	0.00	0.00	-0.01
C17	CO1	b407	F	CAR	D15	0.64	0.03	-0.85	0.07	0.03	6.05	0.06	0.03	-0.01
C10	CO1	b408	M	DIET	D15	0.10	-0.05	3.73	-0.07	0.02	2.93	-0.01	0.02	0.03
C18	CO1	b409	F	DIET	D15	0.18	-0.02	4.63	-0.01	0.02	-17.93	0.02	0.03	0.02
C13	CO1	b410	M	CAR	D15	0.89	0.00	1.37	0.02	0.02	-1.28	0.04	0.03	0.00
C11	CO2	b412	M	CTRL	D15	-0.08	-0.01	-0.62	-0.04	0.02	-2.12	0.00	0.01	0.02
C1	CO2	b413	M	CAR	D15	2.10	-0.01	-0.97	-0.03	-0.04	9.09	-0.07	-0.04	0.00
C4	CO2	b414	M	BOTH	D15	3.20	0.04	-4.43	0.04	0.00	3.52	0.01	0.00	-0.01
C8	CO2	b415	M	BOTH	D15	1.19	0.01	-1.86	-0.01	-0.01	-1.70	-0.01	-0.01	0.00
C10	CO2	b416	M	DIET	D15	0.45	0.00	-2.06	-0.03	-0.01	-2.69	-0.02	-0.01	0.01
C13	CO2	b417	M	CAR	D15	0.80	-0.02	1.65	-0.03	0.01	-8.35	0.00	0.01	0.02
C6	CO2	b418	F	DIET	D15	-0.03	0.01	-5.47	-0.03	0.00	-4.02	0.00	-0.01	0.02
C15	CO2	b419	M	CTRL	D15	0.07	-0.06	4.17	-0.10	0.01	-0.34	-0.05	-0.01	0.04
C12	CO2	b420	M	BOTH	D15	3.73	0.06	-6.51	0.06	-0.01	5.80	0.01	-0.02	-0.02
C5	CO2	b421	F	CAR	D15	1.27	0.02	-4.88	0.00	-0.02	10.24	-0.02	-0.03	-0.01
C14	CO2	b422	M	DIET	D15	1.22	0.00	-3.87	-0.05	0.00	2.91	-0.01	-0.01	0.03
C18	CO2	b423	M	DIET	D15	0.40	-0.01	-3.08	-0.08	0.01	10.33	-0.01	-0.01	0.04
C20	CO2	b424	F	BOTH	D15	3.75	0.03	-5.78	0.03	-0.02	22.63	0.00	-0.02	-0.02
C19	CO2	b425	F	CTRL	D15	0.20	-0.07	6.86	-0.07	0.04	14.70	0.01	0.04	0.03
C7	CO2	b426	M	CTRL	D15	0.07	0.00	-4.24	-0.06	0.01	10.59	0.00	0.00	0.03
C16	CO2	b427	F	BOTH	D15	-2.21	0.00	-3.07	-0.04	-0.01	2.50	-0.02	-0.01	0.01
C9	CO2	b428	M	CAR	D15	1.12	0.00	-3.94	-0.05	-0.02	-5.04	-0.03	-0.03	0.01
C17	CO2	b429	M	CAR	D15	2.60	0.01	-4.35	-0.02	-0.03	-0.56	-0.03	-0.03	0.00
C2	CO2	b430	M	DIET	D15	0.39	-0.02	1.23	-0.03	0.02	-0.06	0.01	0.02	0.02
C3	CO2	b431	F	CTRL	D15	0.08	0.00	-2.38	-0.05	-0.01	4.56	-0.03	-0.02	0.02
C11	CO1	b390	F	CTRL	D28	-0.28	-0.04	4.95	-0.03	0.01	-8.91	-0.01	0.01	0.01
