Time	Cohort	Bird	Treatment	Sex	Intake.P	Intake.L	Intake.C	Intake.P.per	Intake.L.per	Intake.C.per	P.Energy	L.Energy	C.Energy	P.Energy.per	L.Energy.per	C.Energy.per	PhotoC
W1	C1	b390	Ctrl	F	23.026	11.116	37.000	32.366	15.625	52.009	92.104	100.044	148.002	27.077	29.412	43.511	0.124
W1	C1	b391	Ctrl	M	20.868	10.074	33.533	32.366	15.625	52.009	83.474	90.670	134.133	27.077	29.412	43.511	0.068
W1	C1	b392	Both	F	31.098	10.128	22.552	48.760	15.880	35.360	124.391	91.149	90.208	40.684	29.812	29.504	0.085
W1	C1	b393	Diet	M	24.532	5.553	43.385	33.391	7.559	59.051	98.129	49.980	173.540	30.508	15.539	53.953	0.082
W1	C1	b394	Both	M	46.958	8.106	9.244	73.020	12.605	14.375	187.831	72.954	36.977	63.081	24.501	12.418	0.112
W1	C1	b395	Car	F	26.581	12.832	42.714	32.366	15.625	52.009	106.326	115.492	170.854	27.077	29.412	43.511	0.092
W1	C1	b396	Ctrl	M	28.762	13.885	46.218	32.366	15.625	52.009	115.049	124.967	184.872	27.077	29.412	43.511	0.078
W1	C1	b397	Both	F	23.630	14.144	18.077	42.309	25.325	32.367	94.519	127.296	72.309	32.136	43.280	24.585	0.135
W1	C1	b398	Diet	F	40.503	6.982	4.824	77.430	13.348	9.222	162.013	62.840	19.296	66.358	25.738	7.903	0.112
W1	C1	b399	Ctrl	M	22.910	11.060	36.814	32.366	15.625	52.009	91.640	99.540	147.256	27.077	29.412	43.511	0.097
W1	C1	b401	Car	F	23.925	11.550	38.445	32.366	15.625	52.009	95.700	103.950	153.780	27.077	29.412	43.511	0.130
W1	C1	b402	Both	F	31.016	6.284	34.789	43.025	8.717	48.258	124.063	56.558	139.154	38.797	17.687	43.516	0.161
W1	C1	b403	Ctrl	M	28.736	13.873	46.176	32.366	15.625	52.009	114.944	124.853	184.704	27.077	29.412	43.511	0.074
W1	C1	b404	Diet	F	35.620	7.592	49.973	38.225	8.147	53.628	142.480	68.327	199.892	34.692	16.637	48.671	0.073
W1	C1	b405	Car	F	25.236	12.183	40.551	32.366	15.625	52.009	100.943	109.645	162.205	27.077	29.412	43.511	0.082
W1	C1	b406	Both	M	15.621	15.366	3.631	45.124	44.388	10.488	62.483	138.295	14.523	29.021	64.233	6.745	0.221
W1	C1	b407	Car	F	24.789	11.967	39.834	32.366	15.625	52.009	99.157	107.705	159.335	27.077	29.412	43.511	0.096
