Cage	COHORT	BirdID	Sex	Treatment	Time	PlasmaCAR	Intake.P	Intake.L	Intake.C	P.Energy	L.Energy	C.Energy
C11	CO1	b390	F	CTRL	D15	0.807741	43.6711	21.0826	70.17494	174.6844	189.7434	280.69976
C15	CO1	b391	M	CTRL	D15	0.593389	40.687	19.642	65.3798	162.748	176.778	261.5192
C16	CO1	b392	F	BOTH	D15	1.080663	48.296784	21.521657	39.713375	193.187136	193.694913	158.8535
C14	CO1	b393	M	DIET	D15	0.734919	45.767912	10.56846	93.054266	183.071648	95.11614	372.217064
C8	CO1	b394	M	BOTH	D15	2.209614	70.342852	24.059281	16.47994	281.371408	216.533529	65.91976
C1	CO1	b395	F	CAR	D15	2.070159	48.1922	23.2652	77.43988	192.7688	209.3868	309.75952
C19	CO1	b396	M	CTRL	D15	0.311195	51.4953	24.8598	82.74762	205.9812	223.7382	330.99048
C20	CO1	b397	F	BOTH	D15	1.175259	33.087708	28.2631288	35.6018702	132.350832	254.3681592	142.4074808
C6	CO1	b398	F	DIET	D15	0.287946	68.821728	19.828052	8.147092	275.286912	178.452468	32.588368
C7	CO1	b399	M	CTRL	D15	0.419824	44.1815	21.329	70.9951	176.726	191.961	283.9804
C9	CO1	b401	F	CAR	D15	1.26757	45.4517	21.9422	73.03618	181.8068	197.4798	292.14472
C4	CO1	b402	F	BOTH	D15	2.325511	58.202404	11.707024	66.293593	232.809616	105.363216	265.174372
C3	CO1	b403	M	CTRL	D15	0.423094	51.7389	24.9774	83.13906	206.9556	224.7966	332.55624
C2	CO1	b404	F	DIET	D15	0.645804	72.350876	15.111743	98.75398	289.403504	136.005687	395.01592
C5	CO1	b405	F	CAR	D15	1.324547	47.096	22.736	75.6784	188.384	204.624	302.7136
C12	CO1	b406	M	BOTH	D15	1.951478	26.113952	32.921116	4.82048	104.455808	296.290044	19.28192
C17	CO1	b407	F	CAR	D15	1.028238	47.1424	22.7584	75.75296	188.5696	204.8256	303.01184
C10	CO1	b408	M	DIET	D15	0.328415	38.540476	24.496844	20.050279	154.161904	220.471596	80.201116
C18	CO1	b409	F	DIET	D15	0.27413	89.737936	15.182983	11.415245	358.951744	136.646847	45.66098
C13	CO1	b410	M	CAR	D15	1.384183	39.3124	18.9784	63.17096	157.2496	170.8056	252.68384
C11	CO2	b412	M	CTRL	D15	0.607288	43.4333	20.9678	69.79282	173.7332	188.7102	279.17128
C1	CO2	b413	M	CAR	D15	2.428712	42.4183	20.4778	68.16182	169.6732	184.3002	272.64728
C4	CO2	b414	M	BOTH	D15	4.116029	23.466292	34.087644	43.134097	93.865168	306.788796	172.536388
C8	CO2	b415	M	BOTH	D15	1.624729	43.402328	25.895084	69.74231	173.609312	233.055756	278.96924
C10	CO2	b416	M	DIET	D15	1.041775	34.383444	35.553188	8.757349	137.533776	319.978692	35.029396
C13	CO2	b417	M	CAR	D15	0.902503	40.3883	19.4978	64.89982	161.5532	175.4802	259.59928
C6	CO2	b418	F	DIET	D15	0.501117	82.25882	13.905071	9.510714	329.03528	125.145639	38.042856
C15	CO2	b419	M	CTRL	D15	0.2363	40.9654	19.7764	65.82716	163.8616	177.9876	263.30864
C12	CO2	b420	M	BOTH	D15	4.452189	54.084648	21.98379	37.963964	216.338592	197.85411	151.855856
C5	CO2	b421	F	CAR	D15	1.897383	39.5357	19.0862	63.52978	158.1428	171.7758	254.11912
C14	CO2	b422	M	DIET	D15	1.569013	15.315428	30.940967	32.932202	61.261712	278.468703	131.728808
C18	CO2	b423	M	DIET	D15	0.621244	43.364232	17.595728	101.006958	173.456928	158.361552	404.027832
C20	CO2	b424	F	BOTH	D15	4.580006	90.7398	16.731417	56.868833	362.9592	150.582753	227.475332
C19	CO2	b425	F	CTRL	D15	0.850214	40.5797	19.5902	65.20738	162.3188	176.3118	260.82952
C7	CO2	b426	M	CTRL	D15	0.388962	42.3023	20.4218	67.97542	169.2092	183.7962	271.90168
C16	CO2	b427	F	BOTH	D15	0.947825	30.484784	16.765913	48.148119	121.939136	150.893217	192.592476
C9	CO2	b428	M	CAR	D15	1.808179	44.7789	21.6174	71.95506	179.1156	194.5566	287.82024
C17	CO2	b429	M	CAR	D15	2.631894	47.0322	22.7052	75.57588	188.1288	204.3468	302.30352
C2	CO2	b430	M	DIET	D15	0.629995	58.658756	12.379031	85.387982	234.635024	111.411279	341.551928
C3	CO2	b431	F	CTRL	D15	0.280258	40.6754	19.6364	65.36116	162.7016	176.7276	261.44464
C11	CO1	b390	F	CTRL	D28	0.470391	38.0451	18.3666	61.13454	152.1804	165.2994	244.53816
C15	CO1	b391	M	CTRL	D28	0.204622	31.9696	15.4336	51.37184	127.8784	138.9024	205.48736
C16	CO1	b392	F	BOTH	D28	1.155458	29.941856	24.44285	22.778138	119.767424	219.98565	91.112552
C14	CO1	b393	M	DIET	D28	0.193096	39.742652	9.068291	82.74388	158.970608	81.614619	330.97552
C8	CO1	b394	M	BOTH	D28	3.190823	31.575208	26.621623	5.710111	126.300832	239.594607	22.840444
C1	CO1	b395	F	CAR	D28	1.465414	39.1848	18.9168	62.96592	156.7392	170.2512	251.86368
C19	CO1	b396	M	CTRL	D28	0.0001	37.903	18.298	60.9062	151.612	164.682	243.6248
C20	CO1	b397	F	BOTH	D28	1.574741	17.186416	25.242625	40.694343	68.745664	227.183625	162.777372
C6	CO1	b398	F	DIET	D28	0.26178	49.640496	25.725234	6.439174	198.561984	231.527106	25.756696
C7	CO1	b399	M	CTRL	D28	0.002821	36.7169	17.7254	59.00026	146.8676	159.5286	236.00104
C9	CO1	b401	F	CAR	D28	1.667481	35.9397	17.3502	57.75138	143.7588	156.1518	231.00552
C4	CO1	b402	F	BOTH	D28	3.862465	33.584652	18.803595	51.785576	134.338608	169.232355	207.142304
C3	CO1	b403	M	CTRL	D28	0.865387	42.195	20.37	67.803	168.78	183.33	271.212
C2	CO1	b404	F	DIET	D28	0.211247	53.71786	13.575584	99.824621	214.87144	122.180256	399.298484
C5	CO1	b405	F	CAR	D28	1.574741	38.164	18.424	61.3256	152.656	165.816	245.3024
C12	CO1	b406	M	BOTH	D28	3.498779	22.149028	26.622631	8.522538	88.596112	239.603679	34.090152
C17	CO1	b407	F	CAR	D28	1.305862	38.0828	18.3848	61.19512	152.3312	165.4632	244.78048
C10	CO1	b408	M	DIET	D28	0.092544	24.475756	21.69229	30.927873	97.903024	195.23061	123.711492
C18	CO1	b409	F	DIET	D28	0.0001	73.057916	12.686483	14.73326	292.231664	114.178347	58.93304
