Bird	Cohort	Treatment	Sex	Intake.P	Intake.L	Intake.C	Intake.Total	P.Energy	L.Energy	C.Energy
b390	C1	Ctrl	F	20.43	9.86	32.83	63.12	81.72	88.76	131.31
b391	C1	Ctrl	M	18.16	13.78	31.61	63.54	72.66	123.98	126.42
b392	C1	Both	F	19.56	11.49	15.62	46.67	78.24	103.42	62.49
b393	C1	Diet	M	21.38	4.91	43.95	70.24	85.51	44.18	175.80
b394	C1	Both	M	25.48	12.67	5.55	43.70	101.92	114.03	22.19
b395	C1	Car	F	21.84	10.55	35.10	67.49	87.38	94.91	140.41
b396	C1	Ctrl	M	22.35	15.09	37.99	75.43	89.40	135.82	151.96
b397	C1	Both	F	12.57	13.38	19.07	45.02	50.27	120.39	76.30
b398	C1	Diet	F	29.62	11.39	3.65	44.65	118.46	102.49	14.59
b399	C1	Ctrl	M	20.22	14.89	34.97	70.09	80.90	134.00	139.89
b401	C1	Car	F	20.35	15.21	35.30	70.85	81.39	136.88	141.19
b402	C1	Both	F	22.95	7.63	29.52	60.09	91.79	68.65	118.08
b403	C1	Ctrl	M	23.48	16.30	40.13	79.91	93.93	146.67	160.52
b404	C1	Diet	F	31.52	7.17	49.64	88.33	126.07	64.55	198.58
b405	C1	Car	F	21.32	15.41	36.72	73.44	85.26	138.66	146.88
b406	C1	Both	M	12.07	14.89	3.34	30.29	48.26	133.97	13.34
b407	C1	Car	F	21.31	15.45	36.73	73.48	85.23	139.02	146.91
b408	C1	Diet	M	15.75	11.55	12.74	40.05	63.02	103.93	50.98
b409	C1	Diet	F	40.70	6.97	6.54	54.20	162.80	62.71	26.15
b410	C1	Car	M	18.53	14.26	32.34	65.12	74.10	128.35	129.35
b412	C2	Ctrl	M	22.02	16.29	38.12	76.43	88.10	146.58	152.48
b413	C2	Car	M	20.48	14.44	35.10	70.02	81.91	129.95	140.42
b414	C2	Both	M	10.16	16.71	18.55	45.43	40.65	150.43	74.20
b415	C2	Both	M	18.88	13.78	26.03	58.69	75.50	124.01	104.12
b416	C2	Diet	M	16.96	15.34	14.44	46.74	67.83	138.05	57.76
b417	C2	Car	M	19.55	14.86	34.03	68.45	78.20	133.78	136.14
b418	C2	Diet	F	29.78	10.72	3.41	43.91	119.12	96.44	13.64
b419	C2	Ctrl	M	19.78	15.40	34.60	69.78	79.10	138.58	138.41
b420	C2	Both	M	21.29	11.17	23.69	56.15	85.16	100.50	94.77
b421	C2	Car	F	18.58	14.00	32.28	64.86	74.32	125.98	129.13
b422	C2	Diet	M	6.64	15.42	16.96	39.03	26.58	138.82	67.86
b423	C2	Diet	M	16.07	10.77	42.34	69.18	64.28	96.92	169.35
b424	C2	Both	F	38.57	7.48	36.61	82.66	154.27	67.36	146.43
b425	C2	Ctrl	F	19.11	14.27	33.14	66.52	76.45	128.40	132.58
b426	C2	Ctrl	M	20.05	14.51	34.55	69.10	80.19	130.56	138.18
b427	C2	Both	F	11.24	10.07	20.74	42.05	44.98	90.60	82.97
b428	C2	Car	M	21.29	14.55	36.28	72.12	85.17	130.97	145.11
b429	C2	Car	M	22.46	16.33	38.74	77.54	89.85	146.97	154.97
b430	C2	Diet	M	28.30	6.06	44.93	79.29	113.21	54.52	179.74
b431	C2	Ctrl	F	18.15	13.58	31.48	63.21	72.58	122.22	125.94
Nullb392		NullB		14.56575125	14.56575125	14.56575125	43.70	58.26	131.09	58.26
Nullb393		NullD		10.09581208	10.09581208	10.09581208	30.29	40.38	90.86	40.38
Nullb394		NullB		27.55368692	27.55368692	27.55368692	82.66	110.21	247.98	110.21
Nullb397		NullB		14.01782	14.01782	14.01782	42.05	56.07	126.16	56.07
Nullb398		NullD		15.55788833	15.55788833	15.55788833	46.67	62.23	140.02	62.23
Nullb402		NullB		15.00634092	15.00634092	15.00634092	45.02	60.03	135.06	60.03
Nullb404		NullD		20.03140367	20.03140367	20.03140367	60.09	80.13	180.28	80.13
Nullb406		NullB		15.14266725	15.14266725	15.14266725	45.43	60.57	136.28	60.57
Nullb408		NullD		19.56184033	19.56184033	19.56184033	58.69	78.25	176.06	78.25
Nullb409		NullD		18.71617475	18.71617475	18.71617475	56.15	74.86	168.45	74.86
Nullb414		NullB		22.49706667	22.49706667	22.49706667	67.49	89.99	202.47	89.99
Nullb415		NullB		23.61764667	23.61764667	23.61764667	70.85	94.47	212.56	94.47
Nullb416		NullD		24.494015	24.494015	24.494015	73.48	97.98	220.45	97.98
Nullb418		NullD		21.70794833	21.70794833	21.70794833	65.12	86.83	195.37	86.83
Nullb420		NullB		21.61986833	21.61986833	21.61986833	64.86	86.48	194.58	86.48
Nullb422		NullD		24.48075833	24.48075833	24.48075833	73.44	97.92	220.33	97.92
Nullb423		NullD		23.34032167	23.34032167	23.34032167	70.02	93.36	210.06	93.36
Nullb424		NullB		22.81599167	22.81599167	22.81599167	68.45	91.26	205.34	91.26
Nullb427		NullB		24.04087	24.04087	24.04087	72.12	96.16	216.37	96.16
Nullb430		NullD		25.84548167	25.84548167	25.84548167	77.54	103.38	232.61	103.38
